"stateID","state","indicator","type","estimate","lcl","ucl"
7,"Al-Gadarif","WASH: Public water pipe","Proportion",0.41,0.01,2.51
7,"Al-Gadarif","WASH: Protected ground water","Proportion",19.3,5.73,32.88
7,"Al-Gadarif","WASH: Protected well","Proportion",19.35,8.31,30.38
7,"Al-Gadarif","WASH: Filtered surface water","Proportion",23.69,10.61,36.77
7,"Al-Gadarif","WASH: Trucked from improved sources","Proportion",1.27,0.01,3.7
7,"Al-Gadarif","WASH: Bottled water","Proportion",0,0,0
7,"Al-Gadarif","WASH: Unfiltered surface water","Proportion",15.15,1.97,28.32
7,"Al-Gadarif","WASH: Unprotected well","Proportion",0.81,0.01,3.5
7,"Al-Gadarif","WASH: Trucked from unprotected sources","Proportion",2.19,0.01,6.06
7,"Al-Gadarif","WASH: Uses basic drinking water sources (within 30 minutes)","Proportion",49.26,35.42,63.11
7,"Al-Gadarif","WASH: Public pipe network in house within 30 minutes","Proportion",8.07,0.01,17.47
7,"Al-Gadarif","WASH: Public pipe network in yard within 30 minutes","Proportion",5.75,0.01,13.15
7,"Al-Gadarif","WASH: Public water pipe within 30 minutes","Proportion",0.42,0.01,2.4
7,"Al-Gadarif","WASH: Protected ground water within 30 minutes","Proportion",17.83,4.99,30.68
7,"Al-Gadarif","WASH: Protected well within 30 minutes","Proportion",16.26,5.11,27.42
7,"Al-Gadarif","WASH: Filtered surface water within 30 minutes","Proportion",21.7,9.83,33.57
7,"Al-Gadarif","WASH: Trucked from improved sources within 30 minutes","Proportion",0.92,0.01,2.75
7,"Al-Gadarif","WASH: Bottled water within 30 minutes","Proportion",0,0,0
7,"Al-Gadarif","WASH: Unfiltered surface water within 30 minutes","Proportion",13.92,1.82,26.02
7,"Al-Gadarif","WASH: Unprotected well within 30 minutes","Proportion",0.79,0.01,3.51
7,"Al-Gadarif","WASH: Trucked from unprotected sources within 30 minutes","Proportion",1.12,0.01,3.82
11,"North Kourdofan","WASH: Uses improved drinking water sources","Proportion",80.13,74.14,86.13
11,"North Kourdofan","WASH: Public pipe network in house","Proportion",8.37,0.9,15.85
11,"North Kourdofan","WASH: Public pipe network in yard","Proportion",4.06,0.01,9.42
11,"North Kourdofan","WASH: Public water pipe","Proportion",1.67,0.01,3.7
11,"North Kourdofan","WASH: Protected ground water","Proportion",44.76,30.2,59.31
11,"North Kourdofan","WASH: Protected well","Proportion",9.64,1.51,17.78
11,"North Kourdofan","WASH: Filtered surface water","Proportion",12.72,3.42,22.02
11,"North Kourdofan","WASH: Trucked from improved sources","Proportion",11.63,1.91,21.36
11,"North Kourdofan","WASH: Bottled water","Proportion",0,0,0
11,"North Kourdofan","WASH: Unfiltered surface water","Proportion",1.39,0.01,4.08
11,"North Kourdofan","WASH: Unprotected well","Proportion",0.02,0.01,1.62
11,"North Kourdofan","WASH: Trucked from unprotected sources","Proportion",0,0,0
11,"North Kourdofan","WASH: Uses basic drinking water sources (within 30 minutes)","Proportion",62.58,50.35,74.81
11,"North Kourdofan","WASH: Public pipe network in house within 30 minutes","Proportion",8.4,0.56,16.23
11,"North Kourdofan","WASH: Public pipe network in yard within 30 minutes","Proportion",3.24,0.01,7.85
11,"North Kourdofan","WASH: Public water pipe within 30 minutes","Proportion",1.69,0.01,3.94
11,"North Kourdofan","WASH: Protected ground water within 30 minutes","Proportion",38.29,24.75,51.83
11,"North Kourdofan","WASH: Protected well within 30 minutes","Proportion",7.66,1.3,14.03
11,"North Kourdofan","WASH: Filtered surface water within 30 minutes","Proportion",10.06,2.18,17.94
11,"North Kourdofan","WASH: Trucked from improved sources within 30 minutes","Proportion",3.3,0.01,6.92
11,"North Kourdofan","WASH: Bottled water within 30 minutes","Proportion",0,0,0
11,"North Kourdofan","WASH: Unfiltered surface water within 30 minutes","Proportion",1.21,0.01,3.38
11,"North Kourdofan","WASH: Unprotected well within 30 minutes","Proportion",0.02,0.01,1.63
11,"North Kourdofan","WASH: Trucked from unprotected sources within 30 minutes","Proportion",0,0,0
12,"South Kourdofan","WASH: Uses improved drinking water sources","Proportion",82.89,75.4,90.38
12,"South Kourdofan","WASH: Public pipe network in house","Proportion",2.08,0.01,8.24
12,"South Kourdofan","WASH: Public pipe network in yard","Proportion",5.93,0.01,13.32
12,"South Kourdofan","WASH: Public water pipe","Proportion",0.71,0.01,3.1
12,"South Kourdofan","WASH: Protected ground water","Proportion",66.82,47.84,85.79
